frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility
3,0.1,0.48731333017349243,0.3882625997066498,0.03636565059423447,0.9999648332595825,0.4999079704284668,0.38353443145751953,0.02192479372024536,0.9999527931213379,0.5039687156677246,0.38355588912963867,0.02155498042702675,0.9999533891677856,0.5077948570251465,0.3835538327693939,0.021526088938117027,0.999961256980896,0.4951089322566986,0.38419368863105774,0.07118451595306396,0.9999603033065796,0.495179146528244,0.3846127986907959,0.07088632136583328,0.9999638795852661,0.4951718747615814,0.38494277000427246,0.07083054631948471,0.9999666213989258,0.5258435606956482,0.38769233226776123,-0.0019642109982669353,0.9999867677688599,0.5103577375411987,0.38949427008628845,0.22156794369220734,0.9999198913574219,0.4937823712825775,0.3954964280128479,0.03236699849367142,0.9999806880950928,0.48723673820495605,0.3962962031364441,0.09369193017482758,0.9999632835388184,0.5526409149169922,0.41798776388168335,-0.1546183079481125,0.9999973773956299,0.49624723196029663,0.44514456391334534,0.3959560692310333,0.9999560117721558,0.6049483418464661,0.4786131978034973,-0.39222288131713867,0.9944567680358887,0.48394060134887695,0.5046014785766602,0.2420196384191513,0.12205875664949417,0.48479869961738586,0.475464403629303,-0.546543300151825,0.9879423975944519,0.4167383909225464,0.49166053533554077,-0.20425014197826385,0.784269392490387,0.459364116191864,0.4769788384437561,-0.6134236454963684,0.9818691611289978,0.38947704434394836,0.49035096168518066,-0.2656451165676117,0.8913325667381287,0.4519723355770111,0.4728003144264221,-0.5857589244842529,0.9782608151435852,0.386258989572525,0.4829936921596527,-0.2901310324668884,0.8929862976074219,0.4596623182296753,0.47374647855758667,-0.5340433120727539,0.944549560546875,0.3982936143875122,0.48330479860305786,-0.23093181848526,0.851954460144043,0.5919289588928223,0.5603222250938416,-0.1713448315858841,0.999990701675415,0.5368685722351074,0.571332573890686,0.17105211317539215,0.9999827146530151,0.5504806637763977,0.6703845858573914,-0.3537173867225647,0.9944236874580383,0.5336252450942993,0.6738210916519165,0.0842285230755806,0.720248818397522,0.7020213007926941,0.7429583072662354,-0.2833297848701477,0.9906144142150879,0.5986369252204895,0.7670831084251404,0.21404488384723663,0.9065256118774414,0.744414210319519,0.7411656975746155,-0.28499123454093933,0.9488270282745361,0.6260774731636047,0.7788761258125305,0.21949034929275513,0.9055213928222656,0.6919931769371033,0.7932220697402954,-0.44268518686294556,0.991367518901825,0.5462048053741455,0.7966931462287903,0.10972201824188232,0.9404045343399048
4,0.13333333333333333,0.4876769483089447,0.3836880326271057,0.0638619139790535,0.9999656677246094,0.5002678036689758,0.3795502781867981,0.045981742441654205,0.9999544620513916,0.5041308999061584,0.3795243501663208,0.04560783877968788,0.9999553561210632,0.5078370571136475,0.37948769330978394,0.04562118276953697,0.9999626874923706,0.4966087341308594,0.38030046224594116,0.09533267468214035,0.999961793422699,0.4973474144935608,0.38096335530281067,0.09499700367450714,0.9999654293060303,0.4980045258998871,0.3816784620285034,0.09495391696691513,0.9999679923057556,0.5264262557029724,0.3848573565483093,0.005052036605775356,0.9999871253967285,0.5124903917312622,0.3869876265525818,0.2284458577632904,0.9999232888221741,0.4937536120414734,0.3916226327419281,0.05334354564547539,0.999980628490448,0.48829299211502075,0.393547922372818,0.1145237609744072,0.9999637007713318,0.5525595545768738,0.41776251792907715,-0.15644609928131104,0.9999974370002747,0.49841582775115967,0.4429752230644226,0.39805471897125244,0.999955952167511,0.5974169969558716,0.4764643609523773,-0.39257484674453735,0.994745135307312,0.4965851306915283,0.504611074924469,0.26626694202423096,0.11860349029302597,0.4780871570110321,0.4754645824432373,-0.5436744689941406,0.988733172416687,0.4194113314151764,0.4917686879634857,-0.14855167269706726,0.7849705815315247,0.44773292541503906,0.4770178198814392,-0.6085144281387329,0.9830442667007446,0.3924543261528015,0.49039196968078613,-0.20265066623687744,0.8914588093757629,0.441489040851593,0.4726285934448242,-0.5817798376083374,0.9797033667564392,0.38884785771369934,0.4833311438560486,-0.23090672492980957,0.8934634327888489,0.4514237642288208,0.4732266962528229,-0.5311495065689087,0.9482283592224121,0.4033178687095642,0.4833208918571472,-0.17588551342487335,0.8523262739181519,0.5906804203987122,0.5585934519767761,-0.171814426779747,0.9999903440475464,0.536693811416626,0.5686343908309937,0.1715550422668457,0.9999814629554749,0.5510290265083313,0.667122483253479,-0.35436198115348816,0.9940426349639893,0.5359073877334595,0.6706762909889221,0.07061722874641418,0.705966591835022,0.6904969811439514,0.7509092092514038,-0.3722589612007141,0.9905702471733093,0.6015955805778503,0.7663666009902954,0.13967455923557281,0.8997687697410583,0.7238063216209412,0.7568314075469971,-0.3843340277671814,0.9494621157646179,0.6303192377090454,0.7784627079963684,0.13873142004013062,0.9006593823432922,0.6624712347984314,0.7989429831504822,-0.5590201616287231,0.9914880990982056,0.546269416809082,0.7966845035552979,0.022820524871349335,0.9386473894119263
5,0.16666666666666666,0.49521908164024353,0.37500983476638794,0.1429588794708252,0.9999673962593079,0.5086254477500916,0.37183043360710144,0.12970589101314545,0.9999573230743408,0.5121951103210449,0.37206974625587463,0.12932394444942474,0.9999582171440125,0.5155481696128845,0.3723636865615845,0.12933751940727234,0.9999650120735168,0.5041518211364746,0.37245625257492065,0.18131205439567566,0.9999642968177795,0.5042945742607117,0.3731933832168579,0.1809515357017517,0.9999676942825317,0.5042092204093933,0.37395578622817993,0.18089893460273743,0.999970018863678,0.5311961770057678,0.37901559472084045,0.09648406505584717,0.999987781047821,0.5149887800216675,0.3803965747356415,0.3300483524799347,0.9999279379844666,0.4991418719291687,0.3829280138015747,0.134157195687294,0.9999807476997375,0.4948727488517761,0.38403600454330444,0.19837027788162231,0.9999645948410034,0.5533497929573059,0.4140554368495941,-0.10777457803487778,0.9999974966049194,0.504408597946167,0.4361145496368408,0.48919951915740967,0.9999552965164185,0.5693272948265076,0.47409334778785706,-0.3474785387516022,0.9949343204498291,0.4958287179470062,0.49826082587242126,0.3392341732978821,0.11237722635269165,0.46004292368888855,0.47367167472839355,-0.46912044286727905,0.9889261722564697,0.42131656408309937,0.48915570974349976,-0.09466569870710373,0.7655284404754639,0.43238598108291626,0.4770146310329437,-0.5341258645057678,0.9834482073783875,0.3929123878479004,0.4888049066066742,-0.15028966963291168,0.8793603777885437,0.42833492159843445,0.4726141095161438,-0.50874924659729,0.9803118109703064,0.3887750804424286,0.4826256334781647,-0.1792910099029541,0.8820824027061462,0.43921247124671936,0.472712904214859,-0.4571235775947571,0.9501368999481201,0.4031054973602295,0.4822590947151184,-0.12348612397909164,0.8384140133857727,0.5878685712814331,0.5546114444732666,-0.1816679835319519,0.9999901056289673,0.5373331308364868,0.5632617473602295,0.18137936294078827,0.9999803900718689,0.5519803762435913,0.6660853028297424,-0.40388497710227966,0.9942629337310791,0.5422393083572388,0.6681743860244751,0.09825783967971802,0.687401533126831,0.6632764339447021,0.7638695240020752,-0.5248762965202332,0.9911059141159058,0.6084652543067932,0.765548586845398,0.14916029572486877,0.8931275606155396,0.6944766044616699,0.7749459147453308,-0.5473063588142395,0.953161358833313,0.6381632089614868,0.777858316898346,0.14550794661045074,0.8992100954055786,0.6228339076042175,0.8091717958450317,-0.754656970500946,0.9920156002044678,0.5495666861534119,0.7967422008514404,0.016783444210886955,0.936832845211029
6,0.2,0.4974054992198944,0.3702271580696106,0.1917038857936859,0.9999665021896362,0.5108239650726318,0.3667841851711273,0.17312486469745636,0.9999578595161438,0.514445424079895,0.36694350838661194,0.17276133596897125,0.9999588131904602,0.51778644323349,0.36714303493499756,0.17279401421546936,0.999965488910675,0.5065935850143433,0.367411732673645,0.2242070585489273,0.9999651312828064,0.5069677829742432,0.3680868446826935,0.2238168865442276,0.999968409538269,0.5071032047271729,0.3688228726387024,0.2237483412027359,0.9999708533287048,0.5338801741600037,0.37380078434944153,0.11768125742673874,0.9999876618385315,0.5180690288543701,0.3752233684062958,0.34941673278808594,0.9999303221702576,0.5013819336891174,0.37807315587997437,0.1763337105512619,0.9999791979789734,0.4976533353328705,0.3793664872646332,0.23992294073104858,0.9999634027481079,0.5535547137260437,0.4083669185638428,-0.08176127821207047,0.9999974966049194,0.5079575777053833,0.4313669800758362,0.5068614482879639,0.9999535083770752,0.5540712475776672,0.4699004590511322,-0.28338465094566345,0.9949248433113098,0.5029887557029724,0.4969967007637024,0.4290738105773926,0.10578346997499466,0.4486885964870453,0.4713006615638733,-0.37133926153182983,0.9889851212501526,0.42174550890922546,0.48915690183639526,0.09451362490653992,0.7491987943649292,0.4191942811012268,0.47524958848953247,-0.42313796281814575,0.9835758209228516,0.39289242029190063,0.4885682463645935,0.05665937438607216,0.8667024374008179,0.4157787263393402,0.4695788025856018,-0.3967389762401581,0.9805456399917603,0.3887327313423157,0.48237529397010803,0.027975579723715782,0.8697863817214966,0.4283953905105591,0.46922603249549866,-0.3570663034915924,0.951407253742218,0.4028968811035156,0.4818324148654938,0.0688057616353035,0.8243990540504456,0.5819915533065796,0.5499917268753052,-0.1846146434545517,0.9999889731407166,0.5373302102088928,0.5575160384178162,0.1843130737543106,0.9999772906303406,0.5520768165588379,0.6649293303489685,-0.35909244418144226,0.9941616654396057,0.5417027473449707,0.6656327247619629,0.1627705991268158,0.6557785868644714,0.6343674063682556,0.7729447484016418,-0.435979962348938,0.9911723136901855,0.6077687740325928,0.76226407289505,0.21985401213169098,0.866794764995575,0.664928674697876,0.786080002784729,-0.45253321528434753,0.9545656442642212,0.638576865196228,0.7741962671279907,0.2184402048587799,0.8816198706626892,0.5881136059761047,0.8176840543746948,-0.6325167417526245,0.9919537305831909,0.5510977506637573,0.7961161136627197,0.12229883670806885,0.9220722913742065
7,0.23333333333333334,0.5000061392784119,0.36903584003448486,0.2347375601530075,0.999968945980072,0.5151479244232178,0.3636198937892914,0.21343784034252167,0.9999611973762512,0.5189293622970581,0.36377862095832825,0.2130850851535797,0.9999621510505676,0.5223519802093506,0.36392930150032043,0.2131490260362625,0.9999682903289795,0.5118235349655151,0.3643011748790741,0.269768625497818,0.9999679923057556,0.5129423141479492,0.36503154039382935,0.2693770229816437,0.9999709725379944,0.5138126015663147,0.3658157289028168,0.2693326771259308,0.9999732375144958,0.5420550107955933,0.3703688979148865,0.14083999395370483,0.9999884963035583,0.5294926762580872,0.37258368730545044,0.39555931091308594,0.9999359846115112,0.5031862258911133,0.3772500157356262,0.2129867970943451,0.9999801516532898,0.5001814961433411,0.3786250352859497,0.2831728756427765,0.9999655485153198,0.5612944960594177,0.407501757144928,-0.07498485594987869,0.999997615814209,0.5131131410598755,0.43097609281539917,0.5518540143966675,0.9999547004699707,0.5461647510528564,0.46792665123939514,-0.26321321725845337,0.9953333735466003,0.5016051530838013,0.4963945746421814,0.48062923550605774,0.10278348624706268,0.43444353342056274,0.4675021767616272,-0.315425306558609,0.9898945093154907,0.41754448413848877,0.4839666783809662,0.1406165361404419,0.7454701066017151,0.4022364616394043,0.4710589349269867,-0.36349496245384216,0.9848621487617493,0.3906645178794861,0.48445338010787964,0.10311377048492432,0.8612421751022339,0.39548084139823914,0.4649483263492584,-0.3365568220615387,0.9820854663848877,0.38537347316741943,0.478813499212265,0.07520976662635803,0.8647350668907166,0.41039302945137024,0.4640040993690491,-0.299233078956604,0.9553537964820862,0.3976336121559143,0.4774356484413147,0.11467474699020386,0.819377064704895,0.5800029039382935,0.5481833219528198,-0.19273902475833893,0.9999872446060181,0.5376349091529846,0.555615246295929,0.1924889236688614,0.9999724626541138,0.5498612523078918,0.6668825745582581,-0.324788898229599,0.9938238859176636,0.5412463545799255,0.6662655472755432,0.1360853612422943,0.6245734691619873,0.6175752282142639,0.7861101627349854,-0.46157020330429077,0.9909045100212097,0.6071152091026306,0.7692784070968628,0.12621577084064484,0.8358647227287292,0.6458102464675903,0.8031356930732727,-0.4863447844982147,0.9557040929794312,0.6374014019966125,0.7802677154541016,0.11729353666305542,0.8659267425537109,0.5486389398574829,0.8242192268371582,-0.6808021068572998,0.9916832447052002,0.5464621782302856,0.8007461428642273,0.006570459809154272,0.9073217511177063
8,0.26666666666666666,0.504008948802948,0.3675655722618103,0.2071906179189682,0.9999709725379944,0.5189512372016907,0.36226993799209595,0.18166054785251617,0.9999639987945557,0.5226892828941345,0.362562358379364,0.18130603432655334,0.9999648928642273,0.5260000228881836,0.3628581166267395,0.18140050768852234,0.999970555305481,0.5176689028739929,0.36310458183288574,0.238036647439003,0.999970555305481,0.5202268362045288,0.3640769124031067,0.2376018762588501,0.9999732971191406,0.5227610468864441,0.36518174409866333,0.23753468692302704,0.9999755024909973,0.5469613671302795,0.36968350410461426,0.10145904868841171,0.9999889731407166,0.5419369339942932,0.37237685918807983,0.3540554344654083,0.9999411106109619,0.5075768828392029,0.37662944197654724,0.18230833113193512,0.9999802708625793,0.5067850947380066,0.3782391846179962,0.2526243031024933,0.9999670386314392,0.5643921494483948,0.4073726534843445,-0.09298877418041229,0.9999975562095642,0.5269850492477417,0.43098050355911255,0.5171495079994202,0.9999553561210632,0.5260183215141296,0.45991387963294983,-0.24397936463356018,0.9953699111938477,0.5003608465194702,0.4926788806915283,0.47922283411026,0.0989493727684021,0.40732282400131226,0.45632076263427734,-0.22396236658096313,0.9899355173110962,0.4055689573287964,0.47492676973342896,0.18378539383411407,0.7405239939689636,0.38118118047714233,0.4575466215610504,-0.2591744363307953,0.9849705100059509,0.3806777894496918,0.47592252492904663,0.1535259634256363,0.8547073602676392,0.37588149309158325,0.4531380236148834,-0.23800739645957947,0.982293963432312,0.37594592571258545,0.46927380561828613,0.1224270835518837,0.8587064743041992,0.3882180154323578,0.4527881145477295,-0.20801666378974915,0.9567214846611023,0.3875071704387665,0.46784311532974243,0.1577228158712387,0.8135228157043457,0.5775005221366882,0.5483211278915405,-0.19519972801208496,0.9999854564666748,0.5394217371940613,0.5548869371414185,0.19494494795799255,0.9999696016311646,0.543525755405426,0.6706230044364929,-0.2633945345878601,0.9912958145141602,0.5358808636665344,0.6669971346855164,0.16871978342533112,0.580299437046051,0.6130906343460083,0.7907000184059143,-0.42932769656181335,0.9878483414649963,0.6045123934745789,0.7702652215957642,0.14429838955402374,0.7859873175621033,0.6422321796417236,0.8083444833755493,-0.4593740701675415,0.9493498802185059,0.6365012526512146,0.7824190258979797,0.14646068215370178,0.8316252827644348,0.5409155488014221,0.825731635093689,-0.6187816858291626,0.9886828064918518,0.5442128777503967,0.8018918037414551,0.05749574676156044,0.8740701079368591
9,0.3,0.5045999884605408,0.3692767322063446,0.2905485928058624,0.999967634677887,0.5195543766021729,0.3648979067802429,0.26404884457588196,0.9999614357948303,0.5231691002845764,0.3651309907436371,0.26371145248413086,0.9999617338180542,0.5264089107513428,0.365366667509079,0.2638351619243622,0.9999672174453735,0.5193036794662476,0.3656727075576782,0.32400113344192505,0.9999706149101257,0.5226253271102905,0.3665200173854828,0.323506236076355,0.9999735355377197,0.5259998440742493,0.36745983362197876,0.32333335280418396,0.9999763369560242,0.5494008660316467,0.3715206980705261,0.1702062338590622,0.9999838471412659,0.5487998723983765,0.3739192485809326,0.44034045934677124,0.99994295835495,0.5102553367614746,0.37858882546424866,0.2614222764968872,0.9999662637710571,0.5104416608810425,0.37893956899642944,0.3363080620765686,0.9999592304229736,0.5673356652259827,0.4080846309661865,-0.047856949269771576,0.9999951720237732,0.5482951998710632,0.43218153715133667,0.5703156590461731,0.9999514222145081,0.4947828948497772,0.4469295144081116,-0.15042266249656677,0.9896770715713501,0.49080660939216614,0.4801149368286133,0.5190772414207458,0.09367211908102036,0.3840548098087311,0.4398497939109802,-0.06406436860561371,0.9777067303657532,0.39336997270584106,0.4594039022922516,0.20693717896938324,0.7369555234909058,0.3602147400379181,0.43874698877334595,-0.08501600474119186,0.9754651188850403,0.36739155650138855,0.4576955735683441,0.17327776551246643,0.8515422344207764,0.35827505588531494,0.43599218130111694,-0.07065510004758835,0.97230064868927,0.36519742012023926,0.4518433213233948,0.1479129195213318,0.8554661273956299,0.36836424469947815,0.4368824362754822,-0.049712397158145905,0.9428180456161499,0.3765685558319092,0.45227059721946716,0.18212716281414032,0.8126482367515564,0.5770040154457092,0.5488227009773254,-0.19345781207084656,0.9999832510948181,0.5403303503990173,0.5564357042312622,0.19313566386699677,0.999968409538269,0.5400102138519287,0.6741011738777161,-0.24182550609111786,0.984660804271698,0.493686705827713,0.6674479842185974,0.15033859014511108,0.5446248054504395,0.609822690486908,0.7942672371864319,-0.3635064363479614,0.9841179847717285,0.5890310406684875,0.7690027356147766,0.1526145190000534,0.7382404208183289,0.6412897109985352,0.8120207786560059,-0.38951319456100464,0.9396986961364746,0.6202003359794617,0.7814726829528809,0.15288066864013672,0.7972741723060608,0.53550124168396,0.8290579915046692,-0.5550796985626221,0.9841094017028809,0.5418351292610168,0.803073525428772,0.08194500207901001,0.8341513276100159
10,0.3333333333333333,0.5105120539665222,0.37025028467178345,0.22987842559814453,0.9998958110809326,0.5252086520195007,0.3659554719924927,0.17050370573997498,0.999900758266449,0.5283167958259583,0.3662148118019104,0.17015638947486877,0.999893307685852,0.5311680436134338,0.36644479632377625,0.1703859120607376,0.9999129176139832,0.525540828704834,0.36671945452690125,0.2429042011499405,0.9999349117279053,0.5287730097770691,0.36758357286453247,0.24186310172080994,0.9999400973320007,0.5319281816482544,0.3685266375541687,0.24124999344348907,0.9999581575393677,0.554372251033783,0.3725730776786804,0.05255180969834328,0.9999255537986755,0.5549476146697998,0.374916136264801,0.3379950225353241,0.9998992681503296,0.5154642462730408,0.381647527217865,0.17660129070281982,0.9998096823692322,0.5158110857009888,0.3811151385307312,0.27023985981941223,0.9998360276222229,0.5672248601913452,0.4087904095649719,-0.1468367725610733,0.9999744892120361,0.5517091751098633,0.4328635632991791,0.5022334456443787,0.9998735785484314,0.4596535563468933,0.4332370162010193,-0.21592369675636292,0.987481951713562,0.46713849902153015,0.4624332785606384,0.49360737204551697,0.09596127271652222,0.3518678545951843,0.4173923432826996,-0.10544268041849136,0.9696961045265198,0.3823138475418091,0.43795567750930786,0.26841211318969727,0.7118356227874756,0.3292270004749298,0.41685524582862854,-0.12748689949512482,0.9665459394454956,0.3546110689640045,0.4322760999202728,0.2495446354150772,0.8221291303634644,0.3281159996986389,0.4137360453605652,-0.11462482810020447,0.9626127481460571,0.355979323387146,0.4294965863227844,0.21618478000164032,0.8262792229652405,0.3373397886753082,0.41466179490089417,-0.09145700931549072,0.928941547870636,0.366621196269989,0.4311569333076477,0.24306662380695343,0.7870853543281555,0.5773000717163086,0.5559065341949463,-0.1931675523519516,0.9999808669090271,0.5409572124481201,0.5604234933853149,0.19283390045166016,0.9999661445617676,0.5406657457351685,0.6823331713676453,-0.24282506108283997,0.9827479720115662,0.45406049489974976,0.6623038053512573,0.1406942903995514,0.5447316765785217,0.6116049885749817,0.7949721217155457,-0.2756437063217163,0.9836346507072449,0.5604670643806458,0.7469582557678223,0.2770400643348694,0.716707170009613,0.6441972255706787,0.8126517534255981,-0.2868097424507141,0.9337764382362366,0.5966443419456482,0.7583945393562317,0.2914183735847473,0.7789320945739746,0.5369427800178528,0.8293231129646301,-0.46183040738105774,0.9821774363517761,0.5350593328475952,0.795913815498352,0.22366301715373993,0.8119088411331177
11,0.36666666666666664,0.5126479864120483,0.37595435976982117,0.20759683847427368,0.9998007416725159,0.5281440615653992,0.36859339475631714,0.1534053534269333,0.9998205900192261,0.5309361219406128,0.36854106187820435,0.15310421586036682,0.9997949600219727,0.5335344672203064,0.3685362935066223,0.15341360867023468,0.9998399019241333,0.52791428565979,0.3695327043533325,0.23403620719909668,0.9998893737792969,0.5304787158966064,0.3701865077018738,0.23248200118541718,0.9998949766159058,0.5328623652458191,0.3709145188331604,0.2316139191389084,0.999936044216156,0.5551338791847229,0.3744905889034271,0.028181839734315872,0.99983149766922,0.554602324962616,0.3766419291496277,0.3059273660182953,0.9998534917831421,0.5168054103851318,0.3871318995952606,0.15705643594264984,0.9995549321174622,0.5163840055465698,0.3868454694747925,0.2640339434146881,0.9996538758277893,0.563878059387207,0.40884870290756226,-0.16155798733234406,0.9999265074729919,0.5450059771537781,0.4333895742893219,0.45767301321029663,0.9997251629829407,0.4256833493709564,0.41568464040756226,-0.18246296048164368,0.985364556312561,0.43993058800697327,0.4430764317512512,0.5128071904182434,0.09938611835241318,0.32774004340171814,0.3914475440979004,-0.00666286563500762,0.9618781208992004,0.3576761484146118,0.41273197531700134,0.38717854022979736,0.679344117641449,0.31049078702926636,0.3895469605922699,-0.022511562332510948,0.9581507444381714,0.33513128757476807,0.40525779128074646,0.38369378447532654,0.7830121517181396,0.3110085129737854,0.3870004713535309,-0.012230311520397663,0.953416109085083,0.33527618646621704,0.40276288986206055,0.3491712212562561,0.787040114402771,0.31881657242774963,0.3892138600349426,0.006408353801816702,0.9164928793907166,0.3418629467487335,0.4051477909088135,0.3637329638004303,0.7537434101104736,0.5769333839416504,0.5624567270278931,-0.19221290946006775,0.9999774694442749,0.5399475693702698,0.5652971863746643,0.19188319146633148,0.9999630451202393,0.5403038263320923,0.6850532293319702,-0.24126788973808289,0.9819803237915039,0.4220600128173828,0.6450300216674805,0.1558324545621872,0.5430172085762024,0.6121649146080017,0.7967447638511658,-0.28287142515182495,0.9836363196372986,0.5325431227684021,0.7303521633148193,0.3222634196281433,0.6960405707359314,0.6452213525772095,0.8135982751846313,-0.2934006452560425,0.9309016466140747,0.5701215267181396,0.741056501865387,0.3385487496852875,0.7616060376167297,0.5347371697425842,0.8294607996940613,-0.46006080508232117,0.9810004830360413,0.5067492723464966,0.7821320295333862,0.28603917360305786,0.7893201112747192
12,0.4,0.5110984444618225,0.37635141611099243,0.1704665571451187,0.9997039437294006,0.526232123374939,0.36905601620674133,0.11796529591083527,0.9997324347496033,0.5292762517929077,0.36905092000961304,0.11763738840818405,0.9996916651725769,0.5321628451347351,0.36907750368118286,0.11784794926643372,0.9997604489326477,0.5255374312400818,0.36996838450431824,0.1819397360086441,0.9998326301574707,0.527965784072876,0.3705858588218689,0.18099625408649445,0.9998384118080139,0.5302280187606812,0.37121865153312683,0.1805814504623413,0.9999054670333862,0.553257167339325,0.37434524297714233,-0.0025731076020747423,0.9997448921203613,0.5515507459640503,0.3762946128845215,0.2576606869697571,0.9998030066490173,0.5154768824577332,0.3871966004371643,0.1243472620844841,0.9992709159851074,0.5145184993743896,0.3869667649269104,0.20736271142959595,0.9994310736656189,0.5521948933601379,0.4081345200538635,-0.17320410907268524,0.9998824000358582,0.543057918548584,0.42893481254577637,0.4102308452129364,0.9995874762535095,0.41842734813690186,0.400420606136322,-0.15552937984466553,0.983049213886261,0.4369514584541321,0.4231007695198059,0.5351265668869019,0.10108738392591476,0.3285377025604248,0.36950546503067017,0.06733755767345428,0.9578061699867249,0.354767769575119,0.3909819424152374,0.507079541683197,0.6568495631217957,0.31015875935554504,0.3658534288406372,0.061356157064437866,0.9540543556213379,0.332354336977005,0.3826961815357208,0.5193517804145813,0.7557129263877869,0.30885279178619385,0.36440619826316833,0.06704206764698029,0.9492043256759644,0.3303085267543793,0.3812183141708374,0.4837897717952728,0.7597372531890869,0.3161003291606903,0.36666348576545715,0.07928392291069031,0.9114331007003784,0.33647745847702026,0.3835962414741516,0.48609694838523865,0.7313027381896973,0.5736370086669922,0.5650321245193481,-0.18902266025543213,0.9999687671661377,0.5391505360603333,0.565963625907898,0.18861736357212067,0.9999516010284424,0.5380777716636658,0.6846972703933716,-0.22662387788295746,0.9793564677238464,0.40255826711654663,0.6261537075042725,0.21851202845573425,0.5256803035736084,0.6105972528457642,0.7962771654129028,-0.2869793176651001,0.9822285771369934,0.5055064558982849,0.7122815847396851,0.37280213832855225,0.6650238037109375,0.6430789232254028,0.8126160502433777,-0.2979199290275574,0.925165057182312,0.5447267889976501,0.721634030342102,0.3884180188179016,0.7376038432121277,0.5343889594078064,0.8311185836791992,-0.43897882103919983,0.9783934950828552,0.46870023012161255,0.762675404548645,0.3676070272922516,0.7578397393226624
